timestamp,price_yes,price_no,sum_prices
2025-12-11T05:16:00.866957,0.36,0.64,1.0
2025-12-11T05:16:01.473753,0.375,0.625,1.0
2025-12-11T05:16:02.083450,0.345,0.655,1.0
2025-12-11T05:16:02.687828,0.335,0.665,1.0
2025-12-11T05:16:03.301466,0.355,0.645,1.0
2025-12-11T05:16:03.918833,0.355,0.645,1.0
2025-12-11T05:16:04.540861,0.355,0.645,1.0
2025-12-11T05:16:05.151651,0.355,0.645,1.0
2025-12-11T05:16:05.767402,0.355,0.645,1.0
2025-12-11T05:16:06.365270,0.355,0.645,1.0
2025-12-11T05:16:06.970979,0.355,0.645,1.0
2025-12-11T05:16:07.586604,0.355,0.645,1.0
2025-12-11T05:16:08.193088,0.355,0.645,1.0
2025-12-11T05:16:08.806257,0.355,0.645,1.0
2025-12-11T05:16:07.851934,0.355,0.645,1.0
2025-12-11T05:16:08.466863,0.355,0.645,1.0
2025-12-11T05:16:09.076701,0.355,0.645,1.0
2025-12-11T05:16:09.687622,0.345,0.655,1.0
2025-12-11T05:16:10.306407,0.345,0.655,1.0
2025-12-11T05:16:10.913686,0.335,0.665,1.0
2025-12-11T05:16:11.515664,0.335,0.665,1.0
2025-12-11T05:16:12.121974,0.335,0.665,1.0
2025-12-11T05:16:12.736121,0.34,0.66,1.0
2025-12-11T05:16:13.338371,0.345,0.655,1.0
2025-12-11T05:16:13.949797,0.345,0.655,1.0
2025-12-11T05:16:14.556874,0.335,0.665,1.0
2025-12-11T05:16:15.165970,0.345,0.655,1.0
2025-12-11T05:16:15.768302,0.345,0.655,1.0
2025-12-11T05:16:16.372110,0.345,0.655,1.0
2025-12-11T05:16:16.970680,0.345,0.655,1.0
2025-12-11T05:16:17.580686,0.345,0.655,1.0
2025-12-11T05:16:18.190906,0.34,0.66,1.0
2025-12-11T05:16:18.798758,0.34,0.66,1.0
2025-12-11T05:16:19.407862,0.34,0.66,1.0
2025-12-11T05:16:20.024642,0.34,0.66,1.0
2025-12-11T05:16:20.631276,0.34,0.66,1.0
2025-12-11T05:16:21.247220,0.34,0.66,1.0
2025-12-11T05:16:21.845130,0.34,0.66,1.0
2025-12-11T05:16:22.507857,0.345,0.655,1.0
2025-12-11T05:16:23.115446,0.335,0.665,1.0
2025-12-11T05:16:23.727407,0.335,0.665,1.0
2025-12-11T05:16:24.337855,0.325,0.675,1.0
2025-12-11T05:16:24.934410,0.315,0.685,1.0
2025-12-11T05:16:25.549124,0.32,0.68,1.0
2025-12-11T05:16:26.153460,0.32,0.68,1.0
2025-12-11T05:16:26.759405,0.32,0.68,1.0
2025-12-11T05:16:27.378555,0.325,0.675,1.0
2025-12-11T05:16:27.993442,0.325,0.675,1.0
2025-12-11T05:16:28.595974,0.325,0.675,1.0
2025-12-11T05:16:29.200145,0.325,0.675,1.0
2025-12-11T05:16:29.825558,0.255,0.755,1.01
2025-12-11T05:16:30.430911,0.245,0.755,1.0
2025-12-11T05:16:31.038457,0.225,0.775,1.0
2025-12-11T05:16:31.649072,0.225,0.775,1.0
2025-12-11T05:16:32.252695,0.23,0.77,1.0
2025-12-11T05:16:32.866799,0.23,0.77,1.0
2025-12-11T05:16:33.481655,0.235,0.765,1.0
2025-12-11T05:16:34.099766,0.235,0.765,1.0
2025-12-11T05:16:34.717039,0.235,0.765,1.0
2025-12-11T05:16:35.345957,0.235,0.765,1.0
2025-12-11T05:16:35.957903,0.235,0.765,1.0
2025-12-11T05:16:36.573102,0.235,0.765,1.0
2025-12-11T05:16:37.188469,0.225,0.775,1.0
2025-12-11T05:16:37.795735,0.225,0.775,1.0
2025-12-11T05:16:38.411044,0.225,0.775,1.0
2025-12-11T05:16:39.018790,0.22,0.775,0.995
2025-12-11T05:16:38.057882,0.23,0.765,0.995
2025-12-11T05:16:38.679641,0.235,0.765,1.0
2025-12-11T05:16:39.286855,0.225,0.775,1.0
2025-12-11T05:16:39.897324,0.225,0.775,1.0
2025-12-11T05:16:40.510180,0.235,0.765,1.0
2025-12-11T05:16:41.125942,0.235,0.765,1.0
2025-12-11T05:16:41.748984,0.235,0.765,1.0
2025-12-11T05:16:42.370815,0.245,0.755,1.0
2025-12-11T05:16:42.984815,0.22,0.78,1.0
2025-12-11T05:16:43.595000,0.22,0.775,0.995
2025-12-11T05:16:44.200597,0.21,0.79,1.0
2025-12-11T05:16:44.806506,0.225,0.775,1.0
2025-12-11T05:16:45.414605,0.235,0.765,1.0
2025-12-11T05:16:46.030971,0.235,0.765,1.0
2025-12-11T05:16:46.638575,0.23,0.785,1.0150000000000001
2025-12-11T05:16:47.249528,0.215,0.78,0.995
2025-12-11T05:16:47.856954,0.225,0.775,1.0
2025-12-11T05:16:48.466187,0.225,0.775,1.0
2025-12-11T05:16:49.068348,0.225,0.775,1.0
2025-12-11T05:16:49.673341,0.225,0.775,1.0
2025-12-11T05:16:50.273034,0.235,0.765,1.0
2025-12-11T05:16:50.878576,0.255,0.745,1.0
2025-12-11T05:16:51.481424,0.255,0.745,1.0
2025-12-11T05:16:52.096260,0.255,0.75,1.005
2025-12-11T05:16:52.715727,0.245,0.755,1.0
2025-12-11T05:16:53.334781,0.245,0.755,1.0
2025-12-11T05:16:53.953638,0.245,0.755,1.0
2025-12-11T05:16:54.562798,0.245,0.755,1.0
2025-12-11T05:16:55.179943,0.245,0.755,1.0
2025-12-11T05:16:55.786343,0.245,0.755,1.0
2025-12-11T05:16:56.388126,0.255,0.745,1.0
2025-12-11T05:16:56.999802,0.255,0.745,1.0
2025-12-11T05:16:57.615388,0.245,0.755,1.0
2025-12-11T05:16:58.253284,0.245,0.755,1.0
2025-12-11T05:16:58.868596,0.245,0.755,1.0
2025-12-11T05:16:59.479867,0.245,0.755,1.0
2025-12-11T05:17:00.090644,0.245,0.755,1.0
2025-12-11T05:17:00.704341,0.245,0.755,1.0
2025-12-11T05:17:01.321086,0.245,0.755,1.0
2025-12-11T05:17:01.935252,0.245,0.755,1.0
2025-12-11T05:17:02.554801,0.245,0.755,1.0
2025-12-11T05:17:03.171197,0.25,0.745,0.995
2025-12-11T05:17:03.798769,0.255,0.745,1.0
2025-12-11T05:17:04.418367,0.255,0.745,1.0
2025-12-11T05:17:05.028876,0.26,0.74,1.0
2025-12-11T05:17:05.646803,0.255,0.745,1.0
2025-12-11T05:17:06.263731,0.26,0.74,1.0
2025-12-11T05:17:06.898435,0.26,0.74,1.0
2025-12-11T05:17:07.507072,0.285,0.715,1.0
2025-12-11T05:17:08.120289,0.29,0.72,1.01
2025-12-11T05:17:08.738334,0.275,0.725,1.0
2025-12-11T05:17:09.365020,0.285,0.715,1.0
2025-12-11T05:17:09.998811,0.275,0.725,1.0
2025-12-11T05:17:09.060397,0.255,0.745,1.0
2025-12-11T05:17:09.675345,0.275,0.725,1.0
2025-12-11T05:17:10.295277,0.28,0.72,1.0
2025-12-11T05:17:10.913652,0.28,0.72,1.0
2025-12-11T05:17:11.535716,0.275,0.725,1.0
2025-12-11T05:17:12.159152,0.29,0.72,1.01
2025-12-11T05:17:12.781690,0.285,0.715,1.0
2025-12-11T05:17:13.421919,0.285,0.715,1.0
2025-12-11T05:17:14.040780,0.285,0.715,1.0
2025-12-11T05:17:14.668511,0.285,0.715,1.0
2025-12-11T05:17:15.282545,0.29,0.715,1.005
2025-12-11T05:17:15.898449,0.285,0.725,1.01
2025-12-11T05:17:16.521427,0.295,0.705,1.0
2025-12-11T05:17:17.138246,0.305,0.695,1.0
2025-12-11T05:17:17.755403,0.305,0.695,1.0
2025-12-11T05:17:18.367669,0.295,0.705,1.0
2025-12-11T05:17:18.975779,0.295,0.705,1.0
2025-12-11T05:17:19.592604,0.295,0.705,1.0
2025-12-11T05:17:20.211155,0.295,0.705,1.0
2025-12-11T05:17:20.827165,0.285,0.72,1.005
2025-12-11T05:17:21.443177,0.28,0.72,1.0
2025-12-11T05:17:22.058023,0.285,0.715,1.0
2025-12-11T05:17:22.682794,0.29,0.71,1.0
2025-12-11T05:17:23.298644,0.295,0.705,1.0
2025-12-11T05:17:23.904074,0.305,0.695,1.0
2025-12-11T05:17:24.520052,0.295,0.705,1.0
2025-12-11T05:17:25.138586,0.275,0.725,1.0
2025-12-11T05:17:25.755668,0.275,0.725,1.0
2025-12-11T05:17:26.376398,0.28,0.72,1.0
2025-12-11T05:17:26.989029,0.28,0.715,0.995
2025-12-11T05:17:27.607603,0.285,0.72,1.005
2025-12-11T05:17:28.228286,0.275,0.725,1.0
2025-12-11T05:17:28.841069,0.275,0.725,1.0
2025-12-11T05:17:29.464513,0.27,0.73,1.0
2025-12-11T05:17:30.077217,0.275,0.725,1.0
2025-12-11T05:17:30.693951,0.275,0.725,1.0
2025-12-11T05:17:31.308774,0.275,0.725,1.0
2025-12-11T05:17:31.927474,0.275,0.725,1.0
2025-12-11T05:17:32.543955,0.275,0.725,1.0
2025-12-11T05:17:33.160816,0.275,0.735,1.01
2025-12-11T05:17:33.773493,0.27,0.73,1.0
2025-12-11T05:17:34.389366,0.27,0.73,1.0
2025-12-11T05:17:35.008442,0.265,0.735,1.0
2025-12-11T05:17:35.621326,0.265,0.735,1.0
2025-12-11T05:17:36.239095,0.255,0.745,1.0
2025-12-11T05:17:36.847780,0.275,0.725,1.0
2025-12-11T05:17:37.460120,0.275,0.725,1.0
2025-12-11T05:17:38.076620,0.275,0.725,1.0
2025-12-11T05:17:38.691342,0.275,0.725,1.0
2025-12-11T05:17:39.301798,0.275,0.725,1.0
2025-12-11T05:17:39.923256,0.275,0.725,1.0
2025-12-11T05:17:40.620624,0.275,0.725,1.0
2025-12-11T05:17:39.673529,0.275,0.725,1.0
2025-12-11T05:17:40.278680,0.27,0.735,1.005
2025-12-11T05:17:40.905985,0.27,0.73,1.0
2025-12-11T05:17:41.528722,0.265,0.735,1.0
2025-12-11T05:17:42.150473,0.265,0.735,1.0
2025-12-11T05:17:42.768529,0.265,0.735,1.0
2025-12-11T05:17:43.381034,0.265,0.735,1.0
2025-12-11T05:17:44.330536,0.265,0.74,1.005
2025-12-11T05:17:44.941208,0.255,0.745,1.0
2025-12-11T05:17:45.553944,0.255,0.745,1.0
2025-12-11T05:17:46.165908,0.245,0.755,1.0
2025-12-11T05:17:46.784657,0.245,0.755,1.0
2025-12-11T05:17:47.390665,0.235,0.765,1.0
